Player,Pos,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Jan Bednarek,DF,20,20,1672,18.6,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,8.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Jan Bednarek,DF,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donny van de Beek,MF,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11
Asmir Begović,GK,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yanis Begraoui,"FW,MF",3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37
Kevin Behrens,FW,33,17,1535,17.1,8,1,9,8,0,0,6,0,4.8,4.8,1.3,6.1,11.0,71.0,92.0,0.47,0.06,0.53,0.47,0.53,0.28,0.07,0.35,0.28,0.35
Alexis Beka Beka,"MF,DF",13,6,456,5.1,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,12.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
Jérémie Bela,"DF,MF",19,7,743,8.3,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,22.0,24.0,54.0,0.12,0.12,0.24,0.12,0.24,0.07,0.03,0.1,0.07,0.1
Reda Belahyane,MF,3,1,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Youcef Belaïli,"MF,FW",17,15,1150,12.8,6,3,9,1,5,6,2,0,6.2,1.8,3.5,5.3,32.0,55.0,68.0,0.47,0.23,0.7,0.08,0.31,0.48,0.27,0.76,0.14,0.42
Youcef Belaïli,"FW,MF",6,4,356,4.0,0,2,2,0,0,0,3,0,0.7,0.7,0.8,1.4,16.0,14.0,31.0,0.0,0.51,0.51,0.0,0.51,0.17,0.19,0.36,0.17,0.36
Haris Belkebla,MF,37,29,2570,28.6,1,0,1,1,0,0,3,0,0.5,0.5,0.6,1.0,19.0,124.0,35.0,0.04,0.0,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04
Stefan Bell,DF,30,26,2395,26.6,0,1,1,0,0,0,9,0,0.7,0.7,0.6,1.2,9.0,92.0,10.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.05,0.02,0.05
Armel Bella Kotchap,DF,24,24,1879,20.9,0,2,2,0,0,0,4,0,1.0,1.0,1.0,2.1,9.0,39.0,2.0,0.0,0.1,0.1,0.0,0.1,0.05,0.05,0.1,0.05,0.1
Raoul Bellanova,DF,17,3,479,5.3,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1.0,25.0,11.0,36.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.19,0.12,0.19
Karim Bellarabi,"FW,MF",8,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Ricner Bellegarde,MF,29,28,2341,26.0,1,6,7,1,0,0,4,0,2.4,2.4,5.0,7.4,99.0,146.0,107.0,0.04,0.23,0.27,0.04,0.27,0.09,0.19,0.29,0.09,0.29
Héctor Bellerín,DF,3,1,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Jude Bellingham,MF,31,30,2691,29.9,8,4,12,7,1,1,8,0,8.2,7.4,4.0,11.4,97.0,252.0,139.0,0.27,0.13,0.4,0.23,0.37,0.27,0.14,0.41,0.25,0.38
Jeanöel Belocian,DF,7,5,428,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,8.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02
Andrea Belotti,FW,30,10,1082,12.0,0,2,2,0,0,1,0,0,3.4,2.6,1.6,4.2,20.0,13.0,89.0,0.0,0.17,0.17,0.0,0.17,0.28,0.13,0.41,0.22,0.35
Fran Beltrán,MF,35,32,2765,30.7,0,2,2,0,0,0,4,0,0.9,0.9,1.7,2.5,27.0,134.0,33.0,0.0,0.07,0.07,0.0,0.07,0.03,0.05,0.08,0.03,0.08
Eliesse Ben Seghir,"FW,MF",18,12,1000,11.1,4,1,5,4,0,0,1,0,1.9,1.9,1.2,3.2,30.0,53.0,89.0,0.36,0.09,0.45,0.36,0.45,0.17,0.11,0.28,0.17,0.28
Salim Ben Seghir,MF,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wissam Ben Yedder,FW,31,27,2024,22.5,18,6,24,13,5,6,4,0,16.0,11.3,3.7,15.0,46.0,74.0,190.0,0.8,0.27,1.07,0.58,0.84,0.71,0.16,0.88,0.5,0.67
