Player,Pos,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Matis Carvalho,GK,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Carvalho,MF,32,30,2365,26.3,3,1,4,3,0,0,6,1,3.1,3.1,1.6,4.7,45.0,197.0,52.0,0.11,0.04,0.15,0.11,0.15,0.12,0.06,0.18,0.12,0.18
Nicolò Casale,DF,28,27,2417,26.9,1,1,2,1,0,0,6,0,0.6,0.6,0.3,0.9,11.0,69.0,3.0,0.04,0.04,0.07,0.04,0.07,0.02,0.01,0.03,0.02,0.03
Casemiro,MF,28,24,2124,23.6,4,3,7,4,0,0,7,2,3.4,3.4,3.1,6.5,14.0,152.0,34.0,0.17,0.13,0.3,0.17,0.3,0.14,0.13,0.28,0.14,0.28
Casemiro,MF,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty Cash,DF,26,20,1820,20.2,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,42.0,75.0,57.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05
Tommaso Cassandro,DF,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Castagne,DF,37,36,3254,36.2,2,3,5,2,0,0,3,0,2.2,2.2,2.6,4.8,39.0,106.0,149.0,0.06,0.08,0.14,0.06,0.14,0.06,0.07,0.13,0.06,0.13
Michele Castagnetti,MF,26,14,1339,14.9,0,1,1,0,0,0,2,0,0.6,0.6,1.7,2.4,14.0,116.0,10.0,0.0,0.07,0.07,0.0,0.07,0.04,0.12,0.16,0.04,0.16
Koen Casteels,GK,34,34,3060,34.0,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.7,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.02,0.02,0.0,0.02
Valentín Castellanos,FW,34,32,2533,28.1,13,0,13,12,1,1,11,0,10.8,10.0,1.7,11.7,29.0,34.0,125.0,0.46,0.0,0.46,0.43,0.43,0.38,0.06,0.44,0.36,0.42
Jean-Charles Castelletto,DF,31,29,2478,27.5,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.2,19.0,119.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04
Samu Castillejo,"FW,MF",25,17,1362,15.1,4,0,4,4,0,0,7,0,2.9,2.9,3.0,5.9,54.0,76.0,115.0,0.26,0.0,0.26,0.26,0.26,0.19,0.2,0.39,0.19,0.39
Jonny Castro,DF,18,14,1261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,1.3,24.0,70.0,46.0,0.07,0.0,0.07,0.07,0.07,0.02,0.07,0.1,0.02,0.1
Gaetano Castrovilli,MF,14,6,629,7.0,2,1,3,2,0,0,3,0,1.1,1.1,1.0,2.1,11.0,12.0,14.0,0.29,0.14,0.43,0.29,0.43,0.16,0.15,0.3,0.16,0.3
Danilo Cataldi,MF,28,26,1903,21.1,0,1,1,0,0,0,5,0,0.2,0.2,1.1,1.3,8.0,82.0,14.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06
Catena,DF,34,34,3013,33.5,1,1,2,1,0,0,14,1,1.3,1.3,1.4,2.7,8.0,113.0,1.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08
Yoann Cathline,"FW,MF",22,11,1084,12.0,1,1,2,1,0,0,0,0,1.5,1.5,0.7,2.1,45.0,29.0,105.0,0.08,0.08,0.17,0.08,0.17,0.12,0.06,0.18,0.12,0.18
Maximiliano Caufriez,DF,25,24,2132,23.7,1,0,1,1,0,0,10,1,0.9,0.9,0.0,0.9,30.0,85.0,11.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04
Edinson Cavani,FW,25,20,1449,16.1,5,2,7,3,2,3,6,0,6.0,3.6,1.7,5.3,8.0,20.0,53.0,0.31,0.12,0.43,0.19,0.31,0.37,0.11,0.48,0.22,0.33
Dani Ceballos,MF,29,18,1507,16.7,0,4,4,0,0,0,7,0,0.9,0.9,2.0,2.9,57.0,194.0,55.0,0.0,0.24,0.24,0.0,0.24,0.05,0.12,0.17,0.05,0.17
Pietro Ceccaroni,DF,2,0,43,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.33,0.58,0.24,0.58
Federico Ceccherini,DF,22,18,1418,15.8,2,0,2,2,0,0,9,1,0.8,0.8,0.2,1.0,25.0,53.0,20.0,0.13,0.0,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06
Assan Ceesay,FW,33,20,1766,19.6,6,0,6,5,1,1,2,0,5.0,4.2,0.8,5.0,20.0,16.0,110.0,0.31,0.0,0.31,0.25,0.25,0.26,0.04,0.29,0.22,0.25
Emil Ceide,FW,18,4,458,5.1,0,1,1,0,0,0,0,0,0.8,0.8,1.3,2.1,34.0,17.0,44.0,0.0,0.2,0.2,0.0,0.2,0.15,0.26,0.41,0.15,0.41
Zeki Çelik,DF,23,15,1457,16.2,0,1,1,0,0,0,7,1,0.3,0.3,1.6,1.9,32.0,64.0,74.0,0.0,0.06,0.06,0.0,0.06,0.02,0.1,0.12,0.02,0.12
Álex Centelles,DF,14,10,1049,11.7,1,1,2,1,0,0,0,1,0.3,0.3,1.2,1.6,17.0,32.0,45.0,0.09,0.09,0.17,0.09,0.17,0.03,0.11,0.13,0.03,0.13
Fabien Centonze,DF,23,19,1689,18.8,0,0,0,0,0,0,4,0,0.7,0.7,0.9,1.6,42.0,102.0,125.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09
Michele Cerofolini,GK,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Cervi,"MF,DF",35,21,1874,20.8,0,4,4,0,0,0,1,1,2.3,2.3,2.7,5.1,44.0,69.0,113.0,0.0,0.19,0.19,0.0,0.19,0.11,0.13,0.24,0.11,0.24
Julio César Enciso,"FW,MF",20,7,806,9.0,4,2,6,4,0,0,1,0,4.0,4.0,1.7,5.7,39.0,31.0,74.0,0.45,0.22,0.67,0.45,0.67,0.45,0.19,0.64,0.45,0.64
Leonardo César Jardim,GK,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Julian Chabot,DF,21,21,1803,20.0,0,2,2,0,0,0,3,0,1.6,1.6,2.0,3.6,5.0,52.0,2.0,0.0,0.1,0.1,0.0,0.1,0.08,0.1,0.18,0.08,0.18
Florian Chabrolle,MF,7,3,329,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
El Chadaille Bitshiabu,DF,12,5,503,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Fares Chaïbi,"FW,MF",35,23,2254,25.0,5,5,10,5,0,0,2,0,5.7,5.7,4.7,10.5,68.0,95.0,203.0,0.2,0.2,0.4,0.2,0.4,0.23,0.19,0.42,0.23,0.42
Nathaniel Chalobah,MF,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71
Trevoh Chalobah,DF,25,18,1608,17.9,0,0,0,0,0,0,4,0,0.9,0.9,0.3,1.2,17.0,71.0,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
Calum Chambers,"DF,MF",14,2,353,3.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1
Timothy Chandler,DF,6,0,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Gaëtan Charbonnier,"FW,MF",6,3,254,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.7,2.0,11.0,18.0,0.35,0.0,0.35,0.35,0.35,0.21,0.05,0.26,0.21,0.26
Brendan Chardonnet,DF,29,26,2401,26.7,0,0,0,0,0,0,6,0,1.2,1.2,0.3,1.5,6.0,73.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
Shea Charles,DF,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Chavalerin,MF,33,24,2336,26.0,4,2,6,4,0,0,3,0,1.5,1.5,2.3,3.8,18.0,92.0,49.0,0.15,0.08,0.23,0.15,0.23,0.06,0.09,0.15,0.06,0.15
Pep Chavarría,"FW,MF",15,1,302,3.4,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.7,11.0,15.0,19.0,0.0,0.6,0.6,0.0,0.6,0.02,0.2,0.22,0.02,0.22
Ivane Chegra,"MF,FW",5,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
Pape Cheikh Diop,MF,1,0,33,0.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rayan Cherki,"MF,FW",33,20,1797,20.0,4,5,9,4,0,0,3,0,4.8,4.8,6.3,11.1,128.0,136.0,251.0,0.2,0.25,0.45,0.2,0.45,0.24,0.31,0.56,0.24,0.56
Ilyes Cheti,DF,6,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Lucas Chevalier,GK,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Fabio Chiarodia,DF,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Chiesa,"DF,FW",20,5,774,8.6,1,5,6,1,0,0,2,0,1.2,1.2,2.6,3.7,44.0,29.0,79.0,0.12,0.58,0.7,0.12,0.7,0.14,0.3,0.44,0.14,0.44
Ben Chilwell,"DF,MF",23,15,1408,15.6,2,2,4,2,0,0,3,0,1.4,1.4,2.2,3.7,43.0,41.0,131.0,0.13,0.13,0.26,0.13,0.26,0.09,0.14,0.23,0.09,0.23
Vlad Chiricheș,DF,15,13,971,10.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Chirivella,MF,25,24,1951,21.7,0,1,1,0,0,0,1,0,0.8,0.8,1.6,2.4,15.0,165.0,22.0,0.0,0.05,0.05,0.0,0.05,0.04,0.07,0.11,0.04,0.11
Joris Chotard,MF,34,25,2371,26.3,0,6,6,0,0,0,4,0,0.3,0.3,3.4,3.7,8.0,97.0,26.0,0.0,0.23,0.23,0.0,0.23,0.01,0.13,0.14,0.01,0.14
Andreas Christensen,DF,22,21,1715,19.1,1,1,2,1,0,0,2,0,1.0,1.0,0.5,1.5,18.0,90.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08
Oliver Christensen,GK,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Christie,"MF,FW",32,22,1834,20.4,1,1,2,1,0,0,2,0,2.8,2.8,2.4,5.1,39.0,71.0,71.0,0.05,0.05,0.1,0.05,0.1,0.14,0.12,0.25,0.14,0.25
Carney Chukwuemeka,"MF,FW",14,2,354,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,21.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.25,0.09,0.25
Samuel Chukwueze,"FW,MF",36,26,2274,25.3,6,5,11,6,0,0,1,0,6.5,6.5,4.1,10.7,126.0,81.0,254.0,0.24,0.2,0.44,0.24,0.44,0.26,0.16,0.42,0.26,0.42
Darko Churlinov,FW,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Chust,DF,14,10,965,10.7,1,0,1,1,0,0,3,0,0.9,0.9,0.0,1.0,4.0,22.0,2.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09
Tolga Ciğerci,MF,11,10,672,7.5,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.5,3.0,32.0,2.0,0.0,0.13,0.13,0.0,0.13,0.03,0.04,0.07,0.03,0.07
Yanis Cimignani,"MF,DF",8,3,279,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09
Daniel Ciofani,FW,31,9,1015,11.3,8,0,8,5,3,4,1,0,5.5,2.3,0.7,2.9,5.0,9.0,36.0,0.71,0.0,0.71,0.44,0.44,0.49,0.06,0.55,0.2,0.26
Tio Cipot,"FW,DF",7,0,138,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,5.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.11,0.02,0.11
Pathé Ciss,"MF,DF",32,12,1282,14.2,1,0,1,1,0,0,4,0,2.6,2.6,0.3,2.9,10.0,65.0,5.0,0.07,0.0,0.07,0.07,0.07,0.18,0.02,0.2,0.18,0.2
Souleymane Cissé,DF,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
Patrick Ciurria,"DF,MF",35,30,2672,29.7,6,5,11,6,0,0,4,0,4.8,4.8,5.5,10.2,66.0,89.0,168.0,0.2,0.17,0.37,0.2,0.37,0.16,0.18,0.34,0.16,0.34
Bobby Clark,MF,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Claude-Maurice,FW,2,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.18,0.12,0.18
Alexis Claude-Maurice,"MF,FW",19,4,540,6.0,3,3,6,3,0,0,0,0,1.1,1.1,1.3,2.4,10.0,24.0,41.0,0.5,0.5,1.0,0.5,1.0,0.18,0.21,0.39,0.18,0.39
Jonathan Clauss,DF,33,31,2527,28.1,2,9,11,2,0,0,1,0,4.2,4.2,8.4,12.6,81.0,118.0,230.0,0.07,0.32,0.39,0.07,0.39,0.15,0.3,0.45,0.15,0.45
Carlos Clerc,"DF,MF",32,31,2639,29.3,0,1,1,0,0,0,5,0,0.6,0.6,2.1,2.7,51.0,107.0,91.0,0.0,0.03,0.03,0.0,0.03,0.02,0.07,0.09,0.02,0.09
Nathaniel Clyne,DF,22,19,1640,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14.0,52.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Conor Coady,DF,24,23,2096,23.3,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4.0,43.0,1.0,0.04,0.04,0.09,0.04,0.09,0.04,0.01,0.05,0.04,0.05
Marcus Coco,"FW,MF",25,5,582,6.5,1,0,1,1,0,0,2,0,1.0,1.0,1.0,2.0,18.0,25.0,52.0,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.31,0.15,0.31
Alexandre Coeff,DF,7,6,586,6.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3.0,26.0,9.0,0.0,0.15,0.15,0.0,0.15,0.01,0.05,0.06,0.01,0.06
Jack Colback,MF,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Séamus Coleman,DF,23,20,1656,18.4,1,0,1,1,0,0,1,0,0.4,0.4,0.9,1.2,13.0,61.0,37.0,0.05,0.0,0.05,0.05,0.05,0.02,0.05,0.07,0.02,0.07
David Čolina,"DF,FW",7,0,166,1.8,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.6,2.0,6.0,7.0,0.54,0.0,0.54,0.54,0.54,0.24,0.07,0.31,0.24,0.31
Álex Collado,MF,15,8,722,8.0,1,1,2,1,0,0,1,0,0.6,0.6,1.6,2.2,24.0,34.0,43.0,0.12,0.12,0.25,0.12,0.25,0.08,0.2,0.28,0.08,0.28
Diego Collado,FW,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omar Colley,DF,16,15,1384,15.4,1,0,1,1,0,0,5,0,1.2,1.2,0.0,1.2,3.0,33.0,2.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08
Nathan Collins,DF,26,19,1814,20.2,0,0,0,0,0,0,2,1,0.2,0.2,0.1,0.3,11.0,64.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02
Lorenzo Colombo,FW,32,17,1471,16.3,5,2,7,4,1,2,4,0,6.1,4.6,1.4,6.0,13.0,21.0,117.0,0.31,0.12,0.43,0.24,0.37,0.38,0.09,0.46,0.28,0.37
Andrea Colpani,MF,26,9,880,9.8,3,1,4,3,0,0,1,0,1.8,1.8,1.7,3.5,28.0,50.0,63.0,0.31,0.1,0.41,0.31,0.41,0.19,0.17,0.35,0.19,0.35
Levi Colwill,DF,17,13,1220,13.6,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,16.0,70.0,3.0,0.0,0.15,0.15,0.0,0.15,0.1,0.04,0.14,0.1,0.14
Kingsley Coman,"FW,MF",24,16,1409,15.7,8,5,13,8,0,0,2,1,4.6,4.6,5.5,10.1,98.0,70.0,296.0,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65
Eray Cömert,DF,23,19,1672,18.6,1,0,1,1,0,0,5,1,0.5,0.5,0.1,0.6,6.0,54.0,1.0,0.05,0.0,0.05,0.05,0.05,0.03,0.0,0.03,0.03,0.03
Santi Comesaña,MF,34,28,2361,26.2,3,2,5,3,0,0,6,0,2.4,2.4,2.0,4.3,38.0,146.0,56.0,0.11,0.08,0.19,0.11,0.19,0.09,0.07,0.17,0.09,0.17
Andrea Consigli,GK,35,35,3150,35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdu Conté,DF,19,15,1315,14.6,1,2,3,1,0,0,0,0,0.6,0.6,2.0,2.6,32.0,56.0,91.0,0.07,0.14,0.21,0.07,0.21,0.04,0.14,0.18,0.04,0.18
Andrea Conti,DF,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Cook,MF,28,18,1720,19.1,0,2,2,0,0,0,4,0,0.2,0.2,2.5,2.8,9.0,63.0,10.0,0.0,0.1,0.1,0.0,0.1,0.01,0.13,0.14,0.01,0.14
Steve Cook,DF,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07
Liam Cooper,DF,18,16,1426,15.8,1,0,1,1,0,0,5,0,1.0,1.0,0.7,1.7,3.0,47.0,2.0,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11
Copete,DF,27,26,2116,23.5,0,0,0,0,0,0,7,1,0.9,0.4,0.2,0.6,11.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.02,0.03
Diego Coppola,DF,19,11,1177,13.1,0,0,0,0,0,0,5,0,0.3,0.3,0.0,0.3,9.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Francis Coquelin,MF,16,9,748,8.3,1,0,1,1,0,0,2,0,1.0,1.0,1.0,2.0,11.0,29.0,27.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.24,0.12,0.24
Sébastien Corchia,DF,22,6,786,8.7,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,21.0,29.0,65.0,0.0,0.11,0.11,0.0,0.11,0.02,0.04,0.05,0.02,0.05
Maxwel Cornet,FW,14,2,245,2.7,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.3,9.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.47,0.02,0.49,0.47,0.49
Jesús Corona,FW,3,1,89,1.0,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.6,3.0,2.0,8.0,1.01,0.0,1.01,1.01,1.01,0.47,0.19,0.65,0.47,0.65
Ángel Correa,"FW,MF",34,12,1371,15.2,7,1,8,7,0,0,2,1,6.1,6.1,3.3,9.4,40.0,56.0,138.0,0.46,0.07,0.53,0.46,0.53,0.4,0.22,0.62,0.4,0.62
Joaquín Correa,FW,26,12,950,10.6,3,1,4,3,0,0,1,0,3.4,3.4,1.3,4.7,19.0,29.0,61.0,0.28,0.09,0.38,0.28,0.38,0.33,0.12,0.45,0.33,0.45
Thierry Correia,DF,26,23,1952,21.7,0,0,0,0,0,0,5,0,0.3,0.3,1.1,1.3,58.0,99.0,116.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Alessandro Cortinovis,MF,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny da Costa,DF,23,14,1236,13.7,0,2,2,0,0,0,0,0,0.5,0.5,1.0,1.5,32.0,62.0,74.0,0.0,0.15,0.15,0.0,0.15,0.04,0.07,0.11,0.04,0.11
David Pereira da Costa,"MF,FW",31,16,1407,15.6,1,3,4,1,0,0,2,0,2.8,2.8,4.1,6.9,61.0,117.0,133.0,0.06,0.19,0.26,0.06,0.26,0.18,0.26,0.44,0.18,0.44
Diego Costa,FW,23,16,1241,13.8,1,0,1,1,0,0,5,1,3.2,3.2,0.7,3.9,19.0,13.0,60.0,0.07,0.0,0.07,0.07,0.07,0.23,0.05,0.28,0.23,0.28
Jaume Costa,DF,31,29,2509,27.9,0,1,1,0,0,0,10,0,1.0,1.0,2.4,3.4,58.0,72.0,119.0,0.0,0.04,0.04,0.0,0.04,0.04,0.08,0.12,0.04,0.12
Logan Costa,DF,5,3,325,3.6,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.5,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15
Nuno da Costa,"FW,MF",32,22,1958,21.8,5,4,9,5,0,0,5,1,4.3,4.3,3.4,7.7,30.0,31.0,126.0,0.23,0.18,0.41,0.23,0.41,0.2,0.16,0.35,0.2,0.35
Samu Costa,MF,31,21,1915,21.3,1,1,2,1,0,0,4,0,1.7,1.7,0.7,2.4,8.0,87.0,24.0,0.05,0.05,0.09,0.05,0.09,0.08,0.03,0.11,0.08,0.11
Benoît Costil,GK,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimír Coufal,DF,27,24,2136,23.7,0,1,1,0,0,0,5,0,0.3,0.3,2.5,2.7,53.0,82.0,109.0,0.0,0.04,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11
Lassana Coulibaly,MF,34,33,2803,31.1,3,3,6,3,0,0,11,0,0.7,0.7,1.7,2.4,49.0,118.0,54.0,0.1,0.1,0.19,0.1,0.19,0.02,0.06,0.08,0.02,0.08
Soumaïla Coulibaly,DF,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanguy Coulibaly,"FW,DF",14,0,326,3.6,4,0,4,3,1,1,3,0,2.3,1.5,0.5,2.0,14.0,12.0,38.0,1.1,0.0,1.1,0.83,0.83,0.63,0.13,0.75,0.41,0.54
Thibaut Courtois,GK,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Mathieu Coutadeur,MF,26,21,1866,20.7,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.1,20.0,110.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
Philippe Coutinho,"MF,FW",20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,1.8,18.0,48.0,68.0,0.11,0.0,0.11,0.11,0.11,0.16,0.05,0.21,0.16,0.21
Yan Couto,"DF,MF",24,12,1131,12.6,1,2,3,1,0,0,2,0,0.5,0.5,2.1,2.6,54.0,53.0,82.0,0.08,0.16,0.24,0.08,0.24,0.04,0.17,0.21,0.04,0.21
Conor Coventry,"MF,FW",1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Cozza,DF,17,14,1277,14.2,2,1,3,2,0,0,3,0,1.4,1.4,0.8,2.1,20.0,48.0,34.0,0.14,0.07,0.21,0.14,0.21,0.1,0.05,0.15,0.1,0.15
Nicolas Cozza,DF,5,0,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessio Cragno,GK,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
